Flight Number,PassengerID,Airline,Origin,Destination,Scheduled Departure,Actual Departure,Scheduled Arrival,Actual Arrival,Departure Delay (min),Arrival Delay (min),Delay Reason,Passenger Satisfaction,Survey Score,Comments,Number of Passengers,Date,Delay Duration (minutes),Flight Status
FN1381,PAX1019,JetStream,ATL,MIA,20:52,21:36,23:52,00:36,44,44,Weather,Low,1,,299,2024-12-09,44,Delayed
FN8394,PAX1020,CloudAir,DFW,MIA,09:37,09:37,12:37,12:37,0,0,None,High,4,Friendly staff.,53,2024-10-20,0,On Time
FN5335,PAX1021,JetStream,JFK,MIA,19:45,19:45,00:45,00:45,0,0,None,High,1,,294,2024-07-10,0,On Time
FN9205,PAX1022,SkyJet,JFK,SEA,11:07,11:57,16:07,16:57,50,50,Technical,Low,3,,143,2024-10-03,50,Delayed
FN9799,PAX1023,FlyHigh,ORD,DEN,19:40,22:14,21:40,00:59,154,199,Security,Low,3,Great service!,81,2024-06-09,199,Delayed
FN1390,PAX1024,AirNova,JFK,MIA,05:13,06:32,07:13,08:32,79,79,Weather,Low,4,Delayed but smooth flight.,187,2024-11-09,79,Delayed
FN9694,PAX1025,JetStream,ATL,SEA,01:06,01:34,04:06,05:15,28,69,Technical,Low,2,,275,2024-01-22,69,Delayed
FN7684,PAX1026,SkyJet,ATL,PHX,14:54,15:30,20:54,21:17,36,23,Crew,Medium,5,Average experience.,281,2024-09-09,23,Delayed
FN3425,PAX1027,JetStream,ATL,DEN,05:50,07:19,10:50,12:19,89,89,Crew,Low,2,Uncomfortable seats.,148,2024-08-23,89,Delayed
FN7691,PAX1028,SkyJet,ATL,PHX,02:35,02:40,07:35,07:40,5,5,Security,Medium,2,Friendly staff.,137,2024-12-10,5,Delayed
FN4405,PAX1029,CloudAir,JFK,DEN,21:42,21:42,02:42,02:42,0,0,None,High,4,Delayed but smooth flight.,199,2024-02-18,0,On Time
FN1471,PAX1030,FlyHigh,ORD,MIA,16:23,16:23,19:23,20:03,0,40,None,Low,5,Friendly staff.,249,2024-02-28,40,Delayed
FN9348,PAX1031,FlyHigh,ORD,DEN,08:22,08:22,14:22,14:22,0,0,None,High,2,,295,2024-06-18,0,On Time
FN8788,PAX1032,FlyHigh,ORD,MIA,18:33,19:31,23:33,01:13,58,100,Weather,Low,4,,147,2024-07-06,100,Delayed
FN8981,PAX1033,JetStream,LAX,MIA,02:26,05:02,08:26,11:55,156,209,Technical,Low,1,,239,2024-09-27,209,Delayed
FN7732,PAX1034,AirNova,DFW,PHX,07:21,07:21,13:21,13:14,0,-7,None,High,1,Average experience.,187,2024-07-08,0,On Time
FN9264,PAX1035,SkyJet,LAX,PHX,16:18,19:17,18:18,21:28,179,190,Technical,Low,5,,234,2024-06-23,190,Delayed
FN8578,PAX1036,CloudAir,DFW,MIA,20:57,21:47,01:57,03:44,50,107,Technical,Low,2,Great service!,137,2024-02-20,107,Delayed
FN1182,PAX1037,SkyJet,ORD,SEA,00:19,00:19,06:19,06:19,0,0,None,High,3,,131,2024-12-29,0,On Time
FN1506,PAX1038,FlyHigh,ORD,PHX,19:47,19:47,22:47,22:47,0,0,None,High,2,Average experience.,193,2024-02-24,0,On Time
FN6242,PAX1039,AirNova,JFK,BOS,02:45,04:15,05:45,07:15,90,90,Crew,Low,4,Uncomfortable seats.,79,2024-08-31,90,Delayed
FN4090,PAX1040,AirNova,ORD,PHX,15:10,15:10,17:10,17:10,0,0,None,High,1,Uncomfortable seats.,63,2024-11-15,0,On Time
FN7824,PAX1041,SkyJet,JFK,SEA,15:15,15:15,18:15,18:08,0,-7,None,High,2,,160,2024-05-10,0,On Time
FN5088,PAX1042,AirNova,DFW,DEN,22:18,00:02,02:18,05:02,104,164,Weather,Low,4,,96,2024-11-02,164,Delayed
FN5675,PAX1043,SkyJet,LAX,MIA,14:51,14:51,18:51,18:25,0,-26,None,High,1,Delayed but smooth flight.,100,2024-05-14,0,On Time
FN4668,PAX1044,AirNova,ATL,MIA,14:36,14:36,20:36,20:38,0,2,None,Medium,4,,201,2024-01-21,2,Delayed
FN1972,PAX1045,FlyHigh,ORD,MIA,03:59,03:59,05:59,05:59,0,0,None,High,5,Delayed but smooth flight.,261,2024-11-24,0,On Time
FN8704,PAX1046,JetStream,ORD,MIA,13:15,14:27,16:15,17:27,72,72,Security,Low,4,,133,2024-06-15,72,Delayed
FN3339,PAX1047,FlyHigh,LAX,PHX,11:39,11:39,16:39,17:10,0,31,None,Low,3,,224,2024-09-30,31,Delayed
FN1813,PAX1048,SkyJet,ORD,MIA,19:27,20:15,22:27,23:15,48,48,Technical,Low,1,,237,2024-03-29,48,Delayed
FN3540,PAX1049,CloudAir,ATL,SEA,02:07,02:25,07:07,08:04,18,57,Crew,Low,5,Uncomfortable seats.,166,2024-11-11,57,Delayed
FN7305,PAX1050,SkyJet,LAX,MIA,09:24,10:31,12:24,13:31,67,67,Crew,Low,5,Uncomfortable seats.,215,2024-01-14,67,Delayed
FN5866,PAX1051,SkyJet,JFK,DEN,06:20,08:29,12:20,14:57,129,157,Technical,Low,4,Uncomfortable seats.,224,2024-08-29,157,Delayed
FN5221,PAX1052,JetStream,JFK,PHX,05:01,06:47,08:01,09:47,106,106,Weather,Low,4,Average experience.,252,2024-09-21,106,Delayed
FN5671,PAX1053,SkyJet,JFK,DEN,10:51,10:51,12:51,12:51,0,0,None,High,3,,54,2024-12-11,0,On Time
FN5335,PAX1054,JetStream,LAX,BOS,09:11,10:28,15:11,16:28,77,77,Technical,Low,5,,56,2024-02-22,77,Delayed
FN7146,PAX1055,JetStream,LAX,SEA,05:47,08:44,10:47,13:44,177,177,Technical,Low,4,Delayed but smooth flight.,289,2024-12-05,177,Delayed
FN4079,PAX1056,AirNova,DFW,MIA,22:23,22:23,00:23,00:23,0,0,None,High,3,,69,2024-04-01,0,On Time
FN6368,PAX1057,AirNova,DFW,MIA,16:16,18:11,20:16,21:56,115,100,Crew,Low,5,Average experience.,148,2024-09-20,100,Delayed
FN3052,PAX1058,JetStream,ORD,SEA,22:33,22:33,00:33,00:59,0,26,None,Medium,1,Delayed but smooth flight.,233,2024-02-04,26,Delayed
FN9865,PAX1059,AirNova,LAX,BOS,01:05,01:27,07:05,07:37,22,32,Crew,Low,3,Average experience.,200,2024-07-24,32,Delayed
FN7453,PAX1060,FlyHigh,DFW,SEA,02:50,03:46,05:50,06:53,56,63,Security,Low,4,Average experience.,131,2024-03-21,63,Delayed
FN9421,PAX1061,AirNova,JFK,DEN,04:31,07:28,06:31,10:17,177,226,Technical,Low,2,Friendly staff.,110,2024-02-19,226,Delayed
FN5480,PAX1062,CloudAir,ORD,MIA,16:50,16:50,20:50,20:50,0,0,None,High,5,Friendly staff.,72,2024-12-25,0,On Time
FN6914,PAX1063,FlyHigh,LAX,PHX,06:33,06:33,08:33,08:33,0,0,None,High,1,,275,2024-01-02,0,On Time
FN9503,PAX1064,JetStream,ORD,DEN,21:37,22:10,03:37,04:10,33,33,Technical,Low,1,Delayed but smooth flight.,279,2024-02-23,33,Delayed
FN1868,PAX1065,CloudAir,ORD,SEA,09:01,09:01,11:01,11:01,0,0,None,High,1,Average experience.,181,2024-04-15,0,On Time
FN1794,PAX1066,FlyHigh,ATL,SEA,14:05,14:05,16:05,16:05,0,0,None,High,5,,226,2024-09-16,0,On Time
FN4372,PAX1067,AirNova,ORD,MIA,00:29,00:29,03:29,03:39,0,10,None,Medium,4,Uncomfortable seats.,224,2024-11-05,10,Delayed
FN5655,PAX1068,AirNova,ATL,DEN,12:31,14:27,15:31,17:27,116,116,Crew,Low,2,,239,2024-07-09,116,Delayed
FN5660,PAX1069,FlyHigh,DFW,MIA,16:50,17:52,22:50,23:45,62,55,Technical,Low,1,Delayed but smooth flight.,193,2024-08-05,55,Delayed
FN8959,PAX1070,CloudAir,LAX,DEN,10:49,10:49,16:49,16:24,0,-25,None,High,1,Friendly staff.,99,2024-02-13,0,On Time
FN5233,PAX1071,JetStream,ATL,MIA,08:27,11:26,13:27,16:26,179,179,Security,Low,4,Delayed but smooth flight.,171,2024-06-10,179,Delayed
FN3844,PAX1072,SkyJet,LAX,DEN,17:37,18:33,20:37,21:45,56,68,Crew,Low,3,,131,2024-07-20,68,Delayed
FN7659,PAX1073,AirNova,JFK,BOS,04:20,04:20,06:20,06:20,0,0,None,High,2,Delayed but smooth flight.,196,2024-09-26,0,On Time
FN3407,PAX1074,JetStream,ORD,SEA,15:13,17:59,19:13,21:59,166,166,Security,Low,3,Uncomfortable seats.,140,2024-12-16,166,Delayed
FN6245,PAX1075,AirNova,JFK,DEN,19:32,19:32,00:32,00:32,0,0,None,High,5,,284,2024-10-30,0,On Time
FN3783,PAX1076,SkyJet,ORD,MIA,00:59,00:59,03:59,03:59,0,0,None,High,2,Delayed but smooth flight.,179,2024-09-27,0,On Time
FN4905,PAX1077,CloudAir,ATL,SEA,17:29,19:24,21:29,00:23,115,174,Crew,Low,4,Average experience.,155,2024-08-02,174,Delayed
FN2306,PAX1078,SkyJet,JFK,MIA,18:06,18:06,22:06,22:06,0,0,None,High,3,,297,2024-09-08,0,On Time
FN8696,PAX1079,AirNova,JFK,DEN,22:00,22:00,01:00,01:00,0,0,None,High,5,Delayed but smooth flight.,232,2024-07-08,0,On Time
FN9862,PAX1080,SkyJet,JFK,DEN,21:13,21:13,03:13,03:33,0,20,None,Medium,2,Delayed but smooth flight.,223,2024-10-22,20,Delayed
FN1280,PAX1081,AirNova,DFW,PHX,22:07,22:07,01:07,01:07,0,0,None,High,5,Great service!,78,2024-07-31,0,On Time
FN5006,PAX1082,AirNova,ORD,MIA,12:39,13:41,18:39,19:41,62,62,Crew,Low,4,Great service!,53,2024-07-26,62,Delayed
FN5659,PAX1083,CloudAir,DFW,SEA,04:38,07:07,06:38,10:03,149,205,Security,Low,1,Delayed but smooth flight.,130,2024-08-24,205,Delayed
FN5017,PAX1084,SkyJet,LAX,SEA,09:14,09:56,12:14,12:56,42,42,Weather,Low,2,Great service!,247,2024-12-03,42,Delayed
FN5151,PAX1085,CloudAir,DFW,MIA,14:50,14:50,20:50,20:50,0,0,None,High,5,,212,2024-02-22,0,On Time
FN6292,PAX1086,AirNova,LAX,BOS,07:42,07:42,10:42,10:42,0,0,None,High,5,Great service!,258,2024-10-06,0,On Time
FN5404,PAX1087,SkyJet,ORD,SEA,15:23,15:23,17:23,17:08,0,-15,None,High,5,Average experience.,168,2024-08-04,0,On Time
FN8093,PAX1088,AirNova,ORD,SEA,08:51,08:51,11:51,11:51,0,0,None,High,1,Friendly staff.,282,2024-09-08,0,On Time
FN6583,PAX1089,CloudAir,DFW,DEN,19:46,19:46,00:46,01:39,0,53,None,Low,1,Delayed but smooth flight.,182,2024-07-06,53,Delayed
FN8629,PAX1090,AirNova,ATL,MIA,11:39,11:39,13:39,13:39,0,0,None,High,1,Uncomfortable seats.,265,2024-02-10,0,On Time
FN2732,PAX1091,AirNova,JFK,DEN,01:11,01:11,04:11,04:11,0,0,None,High,3,Uncomfortable seats.,200,2024-06-05,0,On Time
FN9470,PAX1092,AirNova,LAX,MIA,07:38,09:08,13:38,15:08,90,90,Technical,Low,2,Average experience.,164,2024-01-15,90,Delayed
FN1346,PAX1093,SkyJet,DFW,BOS,09:07,09:07,13:07,13:07,0,0,None,High,1,Average experience.,193,2024-10-27,0,On Time
FN9965,PAX1094,JetStream,ORD,MIA,14:40,15:59,20:40,21:59,79,79,Weather,Low,5,,96,2024-03-05,79,Delayed
FN8791,PAX1095,JetStream,DFW,DEN,10:50,10:50,14:50,14:50,0,0,None,High,2,Great service!,104,2024-12-10,0,On Time
FN3595,PAX1096,FlyHigh,JFK,PHX,08:46,08:46,13:46,13:46,0,0,None,High,2,,52,2024-11-22,0,On Time
FN2898,PAX1097,JetStream,DFW,DEN,16:35,16:35,21:35,21:35,0,0,None,High,1,,85,2024-01-09,0,On Time
FN4096,PAX1098,FlyHigh,ATL,MIA,15:54,18:50,17:54,20:50,176,176,Technical,Low,2,,56,2024-12-09,176,Delayed
FN3769,PAX1099,SkyJet,DFW,DEN,15:32,15:32,17:32,17:32,0,0,None,High,1,Uncomfortable seats.,79,2024-05-08,0,On Time
FN5426,PAX1100,FlyHigh,JFK,MIA,21:34,22:08,00:46,01:20,34,34,None,Low,4,Smooth flight.,199,2024-05-15,34,Delayed
FN4385,PAX1101,AirNova,DFW,BOS,05:43,06:19,07:33,08:09,36,36,Technical,Low,3,Smooth flight.,219,2024-03-03,36,Delayed
FN2267,PAX1102,JetStream,JFK,DEN,16:15,16:40,18:35,19:00,25,25,Weather,Medium,4,Great service!,216,2024-05-18,25,Delayed
FN8099,PAX1103,SkyJet,ORD,DEN,10:00,10:27,12:53,13:20,27,27,Technical,Medium,1,,213,2024-03-21,27,Delayed
FN7873,PAX1104,SkyJet,ORD,DEN,17:05,17:34,18:38,18:47,29,9,None,Medium,5,Delay was frustrating.,97,2024-06-11,9,Delayed
FN5859,PAX1105,SkyJet,JFK,PHX,04:55,05:31,08:15,08:51,36,36,Technical,Low,2,,114,2024-10-15,36,Delayed
FN7736,PAX1106,FlyHigh,LAX,PHX,22:47,23:15,01:19,01:47,28,28,None,Medium,4,,299,2024-09-17,28,Delayed
FN9996,PAX1107,FlyHigh,LAX,DEN,02:14,02:51,04:16,04:17,37,1,Crew,Medium,3,Delay was frustrating.,276,2024-08-18,1,Delayed
FN6134,PAX1108,CloudAir,DFW,SEA,17:08,17:39,20:20,20:29,31,9,Weather,Medium,2,Great service!,280,2024-02-10,9,Delayed
FN2059,PAX1109,AirNova,LAX,DEN,17:00,17:30,20:52,21:22,30,30,Weather,Medium,3,Great service!,115,2024-01-28,30,Delayed
FN6450,PAX1110,CloudAir,ORD,MIA,16:52,17:29,19:05,19:42,37,37,Weather,Low,3,,178,2024-05-14,37,Delayed
FN1663,PAX1111,FlyHigh,LAX,SEA,10:32,11:01,12:52,13:21,29,29,Technical,Medium,4,Smooth flight.,162,2024-07-19,29,Delayed
FN4696,PAX1112,JetStream,LAX,BOS,09:23,09:49,13:03,13:29,26,26,Weather,Medium,5,Friendly staff.,136,2024-11-23,26,Delayed
FN5218,PAX1113,JetStream,DFW,PHX,06:24,06:49,09:01,09:03,25,2,None,Medium,3,Smooth flight.,247,2024-09-24,2,Delayed
FN3811,PAX1114,FlyHigh,ATL,PHX,20:24,20:51,23:26,23:53,27,27,Weather,Medium,5,,197,2024-02-02,27,Delayed
FN9120,PAX1115,JetStream,JFK,PHX,15:28,15:56,18:41,18:47,28,6,Weather,Medium,4,Smooth flight.,56,2024-02-17,6,Delayed
FN5548,PAX1116,AirNova,JFK,BOS,10:23,10:54,11:54,12:25,31,31,None,Low,2,Uncomfortable seats.,196,2024-03-02,31,Delayed
FN6539,PAX1117,SkyJet,ATL,DEN,02:31,02:59,05:56,05:58,28,2,Crew,Medium,3,,202,2024-08-03,2,Delayed
FN5911,PAX1118,SkyJet,DFW,BOS,14:37,15:08,17:14,17:45,31,31,Technical,Low,5,Smooth flight.,177,2024-10-19,31,Delayed
FN9754,PAX1119,FlyHigh,LAX,DEN,15:54,16:22,18:01,18:29,28,28,Technical,Medium,3,Smooth flight.,160,2024-04-08,28,Delayed
FN8679,PAX1120,JetStream,LAX,MIA,16:59,17:33,19:03,19:37,34,34,None,Low,4,Uncomfortable seats.,55,2024-06-20,34,Delayed
FN6088,PAX1121,SkyJet,ATL,DEN,17:40,18:20,20:44,21:24,40,40,Weather,Low,3,,116,2024-12-25,40,Delayed
FN5014,PAX1122,CloudAir,ORD,PHX,09:25,09:58,11:18,11:51,33,33,Weather,Low,3,Uncomfortable seats.,153,2024-08-01,33,Delayed
FN9716,PAX1123,SkyJet,LAX,PHX,04:05,04:33,06:00,06:28,28,28,Technical,Medium,4,,114,2024-02-04,28,Delayed
FN1574,PAX1124,AirNova,JFK,SEA,07:50,08:19,10:10,10:39,29,29,None,Medium,5,Uncomfortable seats.,219,2024-08-14,29,Delayed
FN6315,PAX1125,AirNova,ATL,DEN,10:12,10:42,13:29,13:59,30,30,Weather,Medium,3,Smooth flight.,217,2024-04-10,30,Delayed
FN6177,PAX1126,CloudAir,JFK,MIA,06:09,06:39,10:03,10:33,30,30,Weather,Medium,5,,186,2024-05-10,30,Delayed
FN1559,PAX1127,JetStream,JFK,MIA,18:01,18:40,21:06,21:45,39,39,Crew,Low,3,,280,2024-09-13,39,Delayed
FN3141,PAX1128,SkyJet,DFW,MIA,04:06,04:30,06:04,06:03,24,-1,Weather,High,1,,134,2024-01-05,0,On Time
FN3849,PAX1129,SkyJet,JFK,PHX,21:17,21:46,22:56,23:25,29,29,Technical,Medium,4,Delay was frustrating.,50,2024-08-05,29,Delayed
FN7833,PAX1130,FlyHigh,DFW,MIA,08:35,09:16,11:28,12:09,41,41,Crew,Low,4,Delay was frustrating.,150,2024-09-11,41,Delayed
FN4373,PAX1131,CloudAir,JFK,SEA,19:51,20:30,23:41,00:20,39,39,Weather,Low,4,Uncomfortable seats.,139,2024-12-24,39,Delayed
FN1412,PAX1132,SkyJet,DFW,BOS,16:09,16:35,19:32,19:58,26,26,Technical,Medium,5,Delay was frustrating.,150,2024-10-09,26,Delayed
FN8357,PAX1133,AirNova,LAX,SEA,18:42,19:11,21:47,22:16,29,29,Weather,Medium,4,Smooth flight.,148,2024-07-25,29,Delayed
FN1395,PAX1134,AirNova,LAX,PHX,01:01,01:31,04:51,05:21,30,30,None,Medium,1,Uncomfortable seats.,255,2024-01-15,30,Delayed
FN6588,PAX1135,SkyJet,JFK,SEA,23:10,23:31,02:59,03:20,21,21,None,Medium,5,Great service!,230,2024-12-11,21,Delayed
FN8241,PAX1136,CloudAir,ORD,BOS,15:34,16:08,18:18,18:24,34,6,Crew,Medium,2,Great service!,190,2024-02-11,6,Delayed
FN2365,PAX1137,SkyJet,ORD,PHX,15:45,16:23,17:43,17:40,38,-3,Weather,High,5,Delay was frustrating.,85,2024-06-27,0,On Time
FN5268,PAX1138,AirNova,JFK,SEA,07:24,07:52,10:23,10:51,28,28,Technical,Medium,4,Smooth flight.,249,2024-03-03,28,Delayed
FN6029,PAX1139,AirNova,DFW,PHX,17:04,17:37,20:26,20:21,33,-5,None,High,1,,110,2024-12-17,0,On Time
FN7190,PAX1140,JetStream,DFW,MIA,03:22,04:01,07:18,07:57,39,39,Weather,Low,3,,103,2024-08-18,39,Delayed
FN7819,PAX1141,CloudAir,ATL,PHX,16:10,16:48,19:36,20:14,38,38,Technical,Low,2,Uncomfortable seats.,150,2024-08-28,38,Delayed
FN4324,PAX1142,CloudAir,LAX,DEN,08:21,08:49,12:11,12:39,28,28,Technical,Medium,4,,59,2024-02-21,28,Delayed
FN9415,PAX1143,JetStream,ORD,SEA,14:36,15:00,18:03,18:27,24,24,Technical,Medium,5,Friendly staff.,108,2024-04-05,24,Delayed
FN3000,PAX1144,AirNova,ATL,PHX,01:44,02:13,04:08,04:37,29,29,None,Medium,5,Delay was frustrating.,278,2024-08-09,29,Delayed
FN3048,PAX1145,FlyHigh,DFW,MIA,11:53,12:30,14:40,15:17,37,37,Weather,Low,2,,281,2024-08-18,37,Delayed
FN5363,PAX1146,JetStream,ORD,DEN,01:34,01:56,05:01,05:23,22,22,Crew,Medium,4,,106,2024-08-24,22,Delayed
FN7881,PAX1147,CloudAir,LAX,MIA,14:12,14:44,17:24,17:30,32,6,Crew,Medium,3,Friendly staff.,240,2024-05-22,6,Delayed
FN8730,PAX1148,JetStream,ORD,DEN,04:08,04:38,06:07,06:37,30,30,None,Medium,2,,123,2024-06-19,30,Delayed
FN2906,PAX1149,JetStream,LAX,DEN,16:23,16:50,18:35,19:02,27,27,Technical,Medium,4,Friendly staff.,193,2024-01-29,27,Delayed
FN7777,PAX1150,FlyHigh,JFK,DEN,04:40,05:18,07:42,08:20,38,38,Weather,Low,2,Uncomfortable seats.,110,2024-02-05,38,Delayed
FN8240,PAX1151,CloudAir,DFW,PHX,10:44,11:13,12:47,12:51,29,4,None,Medium,4,Great service!,143,2024-01-13,4,Delayed
FN6811,PAX1152,CloudAir,ATL,MIA,05:36,06:02,08:58,09:24,26,26,None,Medium,4,Smooth flight.,203,2024-06-08,26,Delayed
FN9172,PAX1153,CloudAir,ATL,SEA,17:10,17:43,20:26,20:59,33,33,Technical,Low,4,Uncomfortable seats.,266,2024-11-22,33,Delayed
FN5632,PAX1154,JetStream,DFW,DEN,11:53,12:24,14:48,15:19,31,31,Technical,Low,4,Friendly staff.,282,2024-07-05,31,Delayed
FN7891,PAX1155,FlyHigh,DFW,BOS,01:50,02:21,05:10,05:41,31,31,Technical,Low,3,,113,2024-08-30,31,Delayed
FN7986,PAX1156,JetStream,ORD,SEA,05:14,05:39,07:53,08:18,25,25,Weather,Medium,4,Friendly staff.,85,2024-03-26,25,Delayed
FN1846,PAX1157,FlyHigh,ORD,DEN,01:14,01:40,03:45,04:11,26,26,Crew,Medium,3,,119,2024-10-10,26,Delayed
FN2828,PAX1158,FlyHigh,ORD,DEN,12:03,12:33,14:19,14:49,30,30,None,Medium,3,Delay was frustrating.,183,2024-03-06,30,Delayed
FN3832,PAX1159,JetStream,ORD,BOS,04:20,04:47,06:54,06:57,27,3,Crew,Medium,4,Friendly staff.,143,2024-06-18,3,Delayed
FN6256,PAX1160,CloudAir,LAX,MIA,05:17,05:51,08:43,09:17,34,34,Weather,Low,1,Smooth flight.,199,2024-02-14,34,Delayed
FN3898,PAX1161,FlyHigh,JFK,MIA,14:32,15:06,16:36,16:35,34,-1,Crew,High,5,Uncomfortable seats.,91,2024-03-02,0,On Time
FN7565,PAX1162,JetStream,LAX,BOS,04:55,05:24,06:56,07:25,29,29,None,Medium,4,Uncomfortable seats.,274,2024-05-13,29,Delayed
FN2202,PAX1163,CloudAir,ORD,MIA,01:43,02:15,05:26,05:58,32,32,Weather,Low,5,Smooth flight.,293,2024-10-10,32,Delayed
FN5612,PAX1164,FlyHigh,ATL,DEN,02:36,02:59,04:38,04:38,23,0,None,High,2,Delay was frustrating.,96,2024-01-28,0,On Time
FN3371,PAX1165,SkyJet,JFK,MIA,03:35,04:07,07:20,07:29,32,9,None,Medium,1,Delay was frustrating.,213,2024-04-17,9,Delayed
FN7166,PAX1166,CloudAir,JFK,BOS,21:46,22:13,00:29,00:56,27,27,None,Medium,2,Delay was frustrating.,239,2024-02-13,27,Delayed
FN4876,PAX1167,CloudAir,ORD,PHX,16:32,17:12,19:09,19:49,40,40,None,Low,3,Great service!,100,2024-12-05,40,Delayed
FN4030,PAX1168,JetStream,DFW,PHX,12:58,13:27,16:56,16:54,29,-2,Technical,High,3,Uncomfortable seats.,192,2024-10-12,0,On Time
FN8970,PAX1169,SkyJet,DFW,PHX,22:12,22:39,01:38,02:05,27,27,Technical,Medium,5,Uncomfortable seats.,259,2024-11-26,27,Delayed
FN2205,PAX1170,JetStream,ATL,BOS,05:46,06:15,09:03,09:32,29,29,Technical,Medium,3,,226,2024-05-07,29,Delayed
FN4432,PAX1171,JetStream,DFW,SEA,11:01,11:26,13:19,13:17,25,-2,Crew,High,5,Delay was frustrating.,153,2024-12-13,0,On Time
FN5524,PAX1172,AirNova,LAX,PHX,19:24,19:52,21:55,22:23,28,28,Technical,Medium,4,Great service!,127,2024-08-18,28,Delayed
FN9038,PAX1173,FlyHigh,ATL,BOS,03:13,03:43,05:45,05:47,30,2,Technical,Medium,3,Smooth flight.,173,2024-07-08,2,Delayed
FN9519,PAX1174,JetStream,LAX,DEN,20:01,20:38,22:27,23:04,37,37,None,Low,2,Smooth flight.,288,2024-08-12,37,Delayed
FN1943,PAX1175,CloudAir,ORD,SEA,01:35,02:16,05:26,06:07,41,41,Weather,Low,1,Uncomfortable seats.,196,2024-10-09,41,Delayed
FN4594,PAX1176,CloudAir,DFW,SEA,21:48,22:17,00:04,00:33,29,29,None,Medium,3,Great service!,69,2024-04-30,29,Delayed
FN6619,PAX1177,CloudAir,DFW,MIA,15:33,16:08,17:55,18:30,35,35,None,Low,2,,169,2024-04-25,35,Delayed
FN6877,PAX1178,FlyHigh,ATL,PHX,18:58,19:28,20:52,21:22,30,30,Technical,Medium,2,,147,2024-08-20,30,Delayed
FN8184,PAX1179,AirNova,DFW,SEA,13:57,14:36,17:06,17:45,39,39,Crew,Low,5,Uncomfortable seats.,155,2024-09-15,39,Delayed
FN9646,PAX1180,CloudAir,DFW,SEA,21:50,22:27,23:31,00:08,37,37,None,Low,3,Friendly staff.,171,2024-12-24,37,Delayed
FN9340,PAX1181,FlyHigh,ORD,DEN,23:06,23:30,02:30,02:54,24,24,Weather,Medium,3,Smooth flight.,88,2024-07-16,24,Delayed
FN2762,PAX1182,SkyJet,ATL,BOS,00:54,01:28,02:59,03:33,34,34,Weather,Low,4,Delay was frustrating.,275,2024-05-16,34,Delayed
